Created Date,Complaint Type,Borough,count
2010/07/07,electric,BRONX,65
2010/07/08,electric,BRONX,46
2010/07/09,electric,BRONX,29
2010/07/10,electric,BRONX,24
2010/07/11,electric,BRONX,24
2010/07/12,electric,BRONX,43
2010/07/13,electric,BRONX,65
2010/07/14,electric,BRONX,49
2010/07/15,electric,BRONX,35
2010/07/16,electric,BRONX,26
2010/07/17,electric,BRONX,27
2010/07/18,electric,BRONX,23
2010/07/19,electric,BRONX,54
2010/07/20,electric,BRONX,36
2010/07/21,electric,BRONX,38
2010/07/22,electric,BRONX,30
2010/07/23,electric,BRONX,43
2010/07/24,electric,BRONX,51
2010/07/25,electric,BRONX,21
2010/07/26,electric,BRONX,39
2010/07/27,electric,BRONX,34
2010/07/28,electric,BRONX,41
2010/07/29,electric,BRONX,25
2010/07/30,electric,BRONX,14
2010/07/31,electric,BRONX,13
2010/08/01,electric,BRONX,10
2010/08/02,electric,BRONX,42
2010/08/03,electric,BRONX,29
2010/08/04,electric,BRONX,28
2010/08/05,electric,BRONX,28
2010/08/06,electric,BRONX,31
2010/08/07,electric,BRONX,12
2010/08/08,electric,BRONX,11
2010/08/09,electric,BRONX,52
2010/08/10,electric,BRONX,52
2010/08/11,electric,BRONX,49
2010/08/12,electric,BRONX,40
2010/08/13,electric,BRONX,27
2010/08/14,electric,BRONX,12
2010/08/15,electric,BRONX,21
2010/08/16,electric,BRONX,31
2010/08/17,electric,BRONX,28
2010/08/18,electric,BRONX,39
2010/08/19,electric,BRONX,38
2010/08/20,electric,BRONX,19
2010/08/21,electric,BRONX,8
2010/08/22,electric,BRONX,5
2010/08/23,electric,BRONX,38
2010/08/24,electric,BRONX,42
2010/08/25,electric,BRONX,37
2010/08/26,electric,BRONX,27
2010/08/27,electric,BRONX,24
2010/08/28,electric,BRONX,21
2010/08/29,electric,BRONX,11
2010/08/30,electric,BRONX,30
2010/08/31,electric,BRONX,34
2010/09/01,electric,BRONX,47
2010/09/02,electric,BRONX,48
2010/09/03,electric,BRONX,44
2010/09/04,electric,BRONX,17
2010/09/05,electric,BRONX,11
2010/09/06,electric,BRONX,18
2010/09/07,electric,BRONX,44
2010/09/08,electric,BRONX,32
2010/09/09,electric,BRONX,29
2010/09/10,electric,BRONX,20
2010/09/11,electric,BRONX,3
2010/09/12,electric,BRONX,9
2010/09/13,electric,BRONX,31
2010/09/14,electric,BRONX,41
2010/09/15,electric,BRONX,39
2010/09/16,electric,BRONX,35
2010/09/17,electric,BRONX,18
2010/09/18,electric,BRONX,9
2010/09/19,electric,BRONX,11
2010/09/20,electric,BRONX,39
2010/09/21,electric,BRONX,29
2010/09/22,electric,BRONX,30
2010/09/23,electric,BRONX,52
2010/09/24,electric,BRONX,45
2010/09/25,electric,BRONX,21
2010/09/26,electric,BRONX,8
2010/09/27,electric,BRONX,37
2010/09/28,electric,BRONX,47
2010/09/29,electric,BRONX,33
2010/09/30,electric,BRONX,45
2010/10/01,electric,BRONX,31
2010/10/02,electric,BRONX,22
2010/10/03,electric,BRONX,9
2010/10/04,electric,BRONX,51
2010/10/05,electric,BRONX,51
2010/10/06,electric,BRONX,40
2010/10/07,electric,BRONX,54
2010/10/08,electric,BRONX,27
2010/10/09,electric,BRONX,11
2010/10/10,electric,BRONX,18
2010/10/11,electric,BRONX,25
2010/10/12,electric,BRONX,38
2010/10/13,electric,BRONX,34
2010/10/14,electric,BRONX,37
2010/10/15,electric,BRONX,31
2010/10/16,electric,BRONX,10
2010/10/17,electric,BRONX,16
2010/10/18,electric,BRONX,30
2010/10/19,electric,BRONX,36
2010/10/20,electric,BRONX,46
2010/10/21,electric,BRONX,33
2010/10/22,electric,BRONX,32
2010/10/23,electric,BRONX,22
2010/10/24,electric,BRONX,10
2010/10/25,electric,BRONX,42
2010/10/26,electric,BRONX,49
2010/10/27,electric,BRONX,37
2010/10/28,electric,BRONX,20
2010/10/29,electric,BRONX,40
2010/10/30,electric,BRONX,12
2010/10/31,electric,BRONX,11
2010/11/01,electric,BRONX,31
2010/11/02,electric,BRONX,54
2010/11/03,electric,BRONX,32
2010/11/04,electric,BRONX,29
2010/11/05,electric,BRONX,28
2010/11/06,electric,BRONX,26
2010/11/07,electric,BRONX,12
2010/11/08,electric,BRONX,32
2010/11/09,electric,BRONX,46
2010/11/10,electric,BRONX,33
2010/11/11,electric,BRONX,31
2010/11/12,electric,BRONX,27
2010/11/13,electric,BRONX,12
2010/11/14,electric,BRONX,11
2010/11/15,electric,BRONX,40
2010/11/16,electric,BRONX,33
2010/11/17,electric,BRONX,23
2010/11/18,electric,BRONX,36
2010/11/19,electric,BRONX,22
2010/11/20,electric,BRONX,21
2010/11/21,electric,BRONX,19
2010/11/22,electric,BRONX,38
2010/11/23,electric,BRONX,28
2010/11/24,electric,BRONX,23
2010/11/25,electric,BRONX,8
2010/11/26,electric,BRONX,32
2010/11/27,electric,BRONX,30
2010/11/28,electric,BRONX,8
2010/11/29,electric,BRONX,46
2010/11/30,electric,BRONX,44
2010/12/01,electric,BRONX,51
2010/12/02,electric,BRONX,19
2010/12/03,electric,BRONX,28
2010/12/04,electric,BRONX,16
2010/12/05,electric,BRONX,17
2010/12/06,electric,BRONX,37
2010/12/07,electric,BRONX,55
2010/12/08,electric,BRONX,52
2010/12/09,electric,BRONX,46
2010/12/10,electric,BRONX,39
2010/12/11,electric,BRONX,23
2010/12/12,electric,BRONX,19
2010/12/13,electric,BRONX,46
2010/12/14,electric,BRONX,52
2010/12/15,electric,BRONX,41
2010/12/16,electric,BRONX,41
2010/12/17,electric,BRONX,55
2010/12/18,electric,BRONX,24
2010/12/19,electric,BRONX,5
2010/12/20,electric,BRONX,36
2010/12/21,electric,BRONX,38
2010/12/22,electric,BRONX,40
2010/12/23,electric,BRONX,35
2010/12/24,electric,BRONX,15
2010/12/25,electric,BRONX,11
2010/12/26,electric,BRONX,5
2010/12/27,electric,BRONX,12
2010/12/28,electric,BRONX,18
2010/12/29,electric,BRONX,24
2010/12/30,electric,BRONX,22
2010/12/31,electric,BRONX,6
2011/01/01,electric,BRONX,10
2011/01/02,electric,BRONX,7
2011/01/03,electric,BRONX,20
2011/01/04,electric,BRONX,29
2011/01/05,electric,BRONX,35
2011/01/06,electric,BRONX,38
2011/01/07,electric,BRONX,26
2011/01/08,electric,BRONX,15
2011/01/09,electric,BRONX,18
2011/01/10,electric,BRONX,33
2011/01/11,electric,BRONX,35
2011/01/12,electric,BRONX,32
2011/01/13,electric,BRONX,20
2011/01/14,electric,BRONX,38
2011/01/15,electric,BRONX,20
2011/01/16,electric,BRONX,15
2011/01/17,electric,BRONX,22
2011/01/18,electric,BRONX,37
2011/01/19,electric,BRONX,38
2011/01/20,electric,BRONX,22
2011/01/21,electric,BRONX,27
2011/01/22,electric,BRONX,14
2011/01/23,electric,BRONX,7
2011/01/24,electric,BRONX,47
2011/01/25,electric,BRONX,38
2011/01/26,electric,BRONX,20
2011/01/27,electric,BRONX,13
2011/01/28,electric,BRONX,18
2011/01/29,electric,BRONX,16
2011/01/30,electric,BRONX,14
2011/01/31,electric,BRONX,21
2011/02/01,electric,BRONX,29
2011/02/02,electric,BRONX,41
2011/02/03,electric,BRONX,24
2011/02/04,electric,BRONX,11
2011/02/05,electric,BRONX,11
2011/02/06,electric,BRONX,14
2011/02/07,electric,BRONX,22
2011/02/08,electric,BRONX,22
2011/02/09,electric,BRONX,27
2011/02/10,electric,BRONX,28
2011/02/11,electric,BRONX,11
2011/02/12,electric,BRONX,15
2011/02/13,electric,BRONX,11
2011/02/14,electric,BRONX,15
2011/02/15,electric,BRONX,25
2011/02/16,electric,BRONX,26
2011/02/17,electric,BRONX,12
2011/02/18,electric,BRONX,8
2011/02/19,electric,BRONX,12
2011/02/20,electric,BRONX,6
2011/02/21,electric,BRONX,20
2011/02/22,electric,BRONX,22
2011/02/23,electric,BRONX,25
2011/02/24,electric,BRONX,19
2011/02/25,electric,BRONX,18
2011/02/26,electric,BRONX,7
2011/02/27,electric,BRONX,4
2011/02/28,electric,BRONX,11
2011/03/01,electric,BRONX,12
2011/03/02,electric,BRONX,8
2011/03/03,electric,BRONX,13
2011/03/07,electric,BRONX,14
2011/03/08,electric,BRONX,15
2011/03/09,electric,BRONX,5
2011/03/10,electric,BRONX,8
2011/03/11,electric,BRONX,16
2011/03/12,electric,BRONX,11
2011/03/13,electric,BRONX,14
2011/03/14,electric,BRONX,9
2011/03/15,electric,BRONX,19
2011/03/16,electric,BRONX,6
2011/03/17,electric,BRONX,6
2011/03/18,electric,BRONX,9
2011/03/19,electric,BRONX,4
2011/03/20,electric,BRONX,7
2011/03/21,electric,BRONX,8
2011/03/22,electric,BRONX,5
2011/03/23,electric,BRONX,8
2011/03/24,electric,BRONX,16
2011/03/25,electric,BRONX,12
2011/03/26,electric,BRONX,10
2011/03/27,electric,BRONX,1
2011/03/28,electric,BRONX,10
2011/03/29,electric,BRONX,7
2011/03/30,electric,BRONX,7
2011/03/31,electric,BRONX,12
2011/04/01,electric,BRONX,2
2011/04/02,electric,BRONX,3
2011/04/03,electric,BRONX,2
2011/04/04,electric,BRONX,2
2011/04/05,electric,BRONX,6
2011/04/06,electric,BRONX,8
2011/04/07,electric,BRONX,4
2011/04/08,electric,BRONX,7
2011/04/10,electric,BRONX,1
2011/04/11,electric,BRONX,8
2011/04/12,electric,BRONX,7
2011/04/13,electric,BRONX,21
2011/04/14,electric,BRONX,6
2011/04/15,electric,BRONX,8
2011/04/16,electric,BRONX,6
2011/04/17,electric,BRONX,6
2011/04/18,electric,BRONX,7
2011/04/19,electric,BRONX,16
2011/04/20,electric,BRONX,3
2011/04/21,electric,BRONX,16
2011/04/22,electric,BRONX,4
2011/04/23,electric,BRONX,4
2011/04/24,electric,BRONX,5
2011/04/25,electric,BRONX,15
2011/04/26,electric,BRONX,14
2011/04/27,electric,BRONX,14
2011/04/28,electric,BRONX,9
2011/04/29,electric,BRONX,6
2011/04/30,electric,BRONX,5
2011/05/01,electric,BRONX,5
2011/05/02,electric,BRONX,9
2011/05/03,electric,BRONX,4
2011/05/04,electric,BRONX,18
2011/05/05,electric,BRONX,13
2011/05/06,electric,BRONX,4
2011/05/07,electric,BRONX,3
2011/05/08,electric,BRONX,2
2011/05/09,electric,BRONX,9
2011/05/10,electric,BRONX,11
2011/05/11,electric,BRONX,12
2011/05/12,electric,BRONX,5
2011/05/13,electric,BRONX,3
2011/05/14,electric,BRONX,8
2011/05/15,electric,BRONX,3
2011/05/16,electric,BRONX,30
2011/05/17,electric,BRONX,22
2011/05/18,electric,BRONX,18
2011/05/19,electric,BRONX,14
2011/05/20,electric,BRONX,18
2011/05/21,electric,BRONX,2
2011/05/22,electric,BRONX,1
2011/05/23,electric,BRONX,11
2011/05/24,electric,BRONX,6
2011/05/25,electric,BRONX,6
2011/05/26,electric,BRONX,4
2011/05/27,electric,BRONX,14
2011/05/28,electric,BRONX,5
