2 DR
2D
2DSD
2S
4 DO
4 DR
4D
4D S
4DSD
4H
4S
4W
5D
BOAT
BS
BUS
CON
CONV
CP
CV
DELV
DUMP
FLAT
FOUR
H/WH
HB
I
LIM
LL
MC
MCY
MOT
MOTO
MP
OLNE
P-U
P/SH
PICK
PK
PKUP
PV
REFG
S/SP
SD
SDN
SEDA
SEDN
SEMI
ST
ST W
STAK
SU
SUBN
SUV
SV
SW
SWT
T/CR
TANK
TAXI
TK
TL
TLR
TOW
TR
TR/C
TRAC
TRAI
TRC
TRK
TRL
TRLR
TRT
TRUC
TT
TWOD
UT
UTIL
VAN
VN
W/DR
WAGO
